population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,194,Lesotho,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1030033502851124,0.1121744977977595,0.0935927185664812
1,All Population,5,Prevalence,194,Lesotho,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10264.01378493401,11171.41292955331,9317.80345499969
1,All Population,5,Prevalence,215,Sao Tome and Principe,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1139987526413952,0.1241583989717535,0.1033693965767384
1,All Population,5,Prevalence,215,Sao Tome and Principe,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11378.055681279931,12394.42746494047,10314.62386741849
1,All Population,5,Prevalence,60,Lithuania,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1192292412289727,0.1322619270874578,0.107160356674941
1,All Population,5,Prevalence,60,Lithuania,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11393.996687447321,12652.42173813222,10233.3252713508
1,All Population,5,Prevalence,10,Cambodia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0891365302315699,0.0979709187915546,0.0812806612546603
1,All Population,5,Prevalence,10,Cambodia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8856.40284748571,9745.5868036994,8054.70319385692
1,All Population,5,Prevalence,128,Guatemala,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1194637804475606,0.1286921894514211,0.1096135153004104
1,All Population,5,Prevalence,128,Guatemala,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11770.701259953139,12662.39490165863,10796.5360030622
1,All Population,5,Prevalence,57,Belarus,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1139199158299782,0.1256235260099571,0.1039526212894693
1,All Population,5,Prevalence,57,Belarus,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10740.16781627322,11867.55933726872,9769.16204121144
